point,rep1,rep2,rep3,rep4
CAT003,37406,37414,37420,NA
CAT004,37406,37414,37420,NA
CAT011,37406,37414,37420,NA
CAT013,37406,37414,37420,NA
CAT017,37406,37415,37420,NA
CAT023,37410,37415,37420,NA
CAT030,37406,37415,37420,NA
CAT040,37412,37419,37426,NA
CAT059,37412,37427,37430,NA
CAT061,37412,37427,37430,NA
CAT068,37412,37419,37426,NA
CAT071,37412,37427,37428,NA
CAT082,37412,37419,37426,NA
CAT083,37412,37419,37426,NA
CAT090,37412,37427,37436,NA
CAT093,37407,37412,37427,NA
CAT100,37412,37419,37426,NA
CAT110,37407,37412,37427,NA
CAT122,37400,37413,37419,NA
CAT129,37406,37412,37427,NA
CAT134,37400,37413,37419,NA
CAT138,37400,37413,37419,NA
CAT146,37406,37412,37427,NA
CAT175,37407,37414,37426,NA
CAT179,37406,37413,37422,NA
CAT180,37406,37413,37422,NA
CAT181,37406,37413,37422,NA
CAT198,37407,37414,37429,NA
CAT247,37410,37414,37422,NA
CAT262,37410,37422,37437,NA
CAT264,37410,37414,37422,NA
CAT269,37407,37414,37426,NA
CAT276,37407,37414,37429,NA
CAT293,37407,37414,37429,NA
CAT346,37407,37414,37429,NA
FCW018,37401,37412,37415,NA
FCW052,37401,37411,37416,37419
FCW065,37401,37416,37419,NA
FCW067,37411,37416,37419,NA
FCW082,37411,37416,37419,NA
FCW083,37411,37416,37419,NA
FCW085,37401,37411,37425,NA
FCW099,37411,37416,37419,NA
FCW112,37411,37416,37419,NA
FCW129,37411,37418,37425,NA
FCW131,37411,37416,37439,NA
FCW143,37411,37418,37425,NA
FCW159,37411,37418,37425,NA
FCW175,37411,37418,37425,NA
FCW182,37415,37424,37425,NA
FCW191,37411,37418,37425,NA
FCW205,37411,37418,37425,NA
FCW249,37415,37424,37425,NA
FCW264,37412,37415,37423,NA
FCW265,37412,37415,37423,NA
FCW274,37407,37412,37423,37425
FCW281,37401,37412,37423,37424
FCW292,37401,37412,37423,37424
FCW298,37407,37415,37423,NA
FCW299,37407,37415,37423,NA
FCW311,37407,37415,37423,NA
FCW373,37406,37415,37423,37425
FCW379,37406,37413,37424,37425
FCW388,37406,37413,37424,37425
FCW413,37406,37413,37424,37425
FCW432,37402,37413,37424,NA
FCW441,37402,37413,37424,NA
FCW450,37402,37413,37424,NA
FCW486,37409,37413,37424,NA
FCW498,37409,37413,37424,NA
